"","domain","phylum","class","order","family","genus","species"
"ASV_4214","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",NA
"ASV_14532","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_8323","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_5196","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_2058","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",NA
"ASV_16532","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_9459","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV_6641","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_11679","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_9367","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"ASV_3311","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_12231","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_18181","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_8308","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_9460","Bacteria","Cyanobacteria",NA,NA,NA,NA,NA
"ASV_1657","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales",NA,NA,NA
"ASV_1198","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA
"ASV_11094","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA
"ASV_1041","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"ASV_3785","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureitalea",NA
"ASV_1414","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV_611","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_246","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
